"Time","Area","Value","Metric","Type"
"1992K1","Hele landet",23.7,"Index","Apartment"
"1992K1","Byen København",15.1,"Index","Apartment"
"1992K1","Københavns omegn",23.2,"Index","Apartment"
"1992K1","Nordsjælland",25.6,"Index","Apartment"
"1992K1","Bornholm",0,"Index","Apartment"
"1992K1","Østsjælland",25.2,"Index","Apartment"
"1992K1","Vest- og Sydsjælland",33.2,"Index","Apartment"
"1992K1","Fyn",30.8,"Index","Apartment"
"1992K1","Sydjylland",39.3,"Index","Apartment"
"1992K1","Østjylland",27.5,"Index","Apartment"
"1992K1","Vestjylland",46.6,"Index","Apartment"
"1992K1","Nordjylland",35,"Index","Apartment"
"1992K2","Hele landet",23.2,"Index","Apartment"
"1992K2","Byen København",15,"Index","Apartment"
"1992K2","Københavns omegn",22.6,"Index","Apartment"
"1992K2","Nordsjælland",24.2,"Index","Apartment"
"1992K2","Bornholm",0,"Index","Apartment"
"1992K2","Østsjælland",25.4,"Index","Apartment"
"1992K2","Vest- og Sydsjælland",31.7,"Index","Apartment"
"1992K2","Fyn",30.5,"Index","Apartment"
"1992K2","Sydjylland",40.9,"Index","Apartment"
"1992K2","Østjylland",26.9,"Index","Apartment"
"1992K2","Vestjylland",46,"Index","Apartment"
"1992K2","Nordjylland",34.1,"Index","Apartment"
"1992K3","Hele landet",22.5,"Index","Apartment"
"1992K3","Byen København",14.3,"Index","Apartment"
"1992K3","Københavns omegn",21.9,"Index","Apartment"
"1992K3","Nordsjælland",23.3,"Index","Apartment"
"1992K3","Bornholm",0,"Index","Apartment"
"1992K3","Østsjælland",25.6,"Index","Apartment"
"1992K3","Vest- og Sydsjælland",31.8,"Index","Apartment"
"1992K3","Fyn",29.3,"Index","Apartment"
"1992K3","Sydjylland",37.9,"Index","Apartment"
"1992K3","Østjylland",26.5,"Index","Apartment"
"1992K3","Vestjylland",46.1,"Index","Apartment"
"1992K3","Nordjylland",32.8,"Index","Apartment"
"1992K4","Hele landet",21.7,"Index","Apartment"
"1992K4","Byen København",13.9,"Index","Apartment"
"1992K4","Københavns omegn",20.8,"Index","Apartment"
"1992K4","Nordsjælland",21.7,"Index","Apartment"
"1992K4","Bornholm",0,"Index","Apartment"
"1992K4","Østsjælland",22.9,"Index","Apartment"
"1992K4","Vest- og Sydsjælland",30.1,"Index","Apartment"
"1992K4","Fyn",29.4,"Index","Apartment"
"1992K4","Sydjylland",38.6,"Index","Apartment"
"1992K4","Østjylland",25.8,"Index","Apartment"
"1992K4","Vestjylland",45.8,"Index","Apartment"
"1992K4","Nordjylland",32.7,"Index","Apartment"
"1993K1","Hele landet",21.1,"Index","Apartment"
"1993K1","Byen København",13.5,"Index","Apartment"
"1993K1","Københavns omegn",20.4,"Index","Apartment"
"1993K1","Nordsjælland",21.9,"Index","Apartment"
"1993K1","Bornholm",0,"Index","Apartment"
"1993K1","Østsjælland",24,"Index","Apartment"
"1993K1","Vest- og Sydsjælland",30.8,"Index","Apartment"
"1993K1","Fyn",29,"Index","Apartment"
"1993K1","Sydjylland",36.4,"Index","Apartment"
"1993K1","Østjylland",24.2,"Index","Apartment"
"1993K1","Vestjylland",44.1,"Index","Apartment"
"1993K1","Nordjylland",31.6,"Index","Apartment"
"1993K2","Hele landet",20.9,"Index","Apartment"
"1993K2","Byen København",13.2,"Index","Apartment"
"1993K2","Københavns omegn",20.7,"Index","Apartment"
"1993K2","Nordsjælland",22,"Index","Apartment"
"1993K2","Bornholm",0,"Index","Apartment"
"1993K2","Østsjælland",22.7,"Index","Apartment"
"1993K2","Vest- og Sydsjælland",29.6,"Index","Apartment"
"1993K2","Fyn",28,"Index","Apartment"
"1993K2","Sydjylland",36.5,"Index","Apartment"
"1993K2","Østjylland",24.5,"Index","Apartment"
"1993K2","Vestjylland",45.1,"Index","Apartment"
"1993K2","Nordjylland",31.7,"Index","Apartment"
"1993K3","Hele landet",22,"Index","Apartment"
"1993K3","Byen København",13.9,"Index","Apartment"
"1993K3","Københavns omegn",21.4,"Index","Apartment"
"1993K3","Nordsjælland",23.3,"Index","Apartment"
"1993K3","Bornholm",0,"Index","Apartment"
"1993K3","Østsjælland",24.2,"Index","Apartment"
"1993K3","Vest- og Sydsjælland",29.8,"Index","Apartment"
"1993K3","Fyn",29.4,"Index","Apartment"
"1993K3","Sydjylland",36.7,"Index","Apartment"
"1993K3","Østjylland",26.1,"Index","Apartment"
"1993K3","Vestjylland",43.6,"Index","Apartment"
"1993K3","Nordjylland",33,"Index","Apartment"
"1993K4","Hele landet",22.9,"Index","Apartment"
"1993K4","Byen København",14.5,"Index","Apartment"
"1993K4","Københavns omegn",22.1,"Index","Apartment"
"1993K4","Nordsjælland",23.9,"Index","Apartment"
"1993K4","Bornholm",0,"Index","Apartment"
"1993K4","Østsjælland",26,"Index","Apartment"
"1993K4","Vest- og Sydsjælland",30.6,"Index","Apartment"
"1993K4","Fyn",31.1,"Index","Apartment"
"1993K4","Sydjylland",39.9,"Index","Apartment"
"1993K4","Østjylland",27.3,"Index","Apartment"
"1993K4","Vestjylland",46.7,"Index","Apartment"
"1993K4","Nordjylland",34.6,"Index","Apartment"
"1994K1","Hele landet",24.2,"Index","Apartment"
"1994K1","Byen København",15.4,"Index","Apartment"
"1994K1","Københavns omegn",23.8,"Index","Apartment"
"1994K1","Nordsjælland",25.7,"Index","Apartment"
"1994K1","Bornholm",0,"Index","Apartment"
"1994K1","Østsjælland",27.7,"Index","Apartment"
"1994K1","Vest- og Sydsjælland",32.2,"Index","Apartment"
"1994K1","Fyn",32.5,"Index","Apartment"
"1994K1","Sydjylland",40.9,"Index","Apartment"
"1994K1","Østjylland",28.3,"Index","Apartment"
"1994K1","Vestjylland",50.5,"Index","Apartment"
"1994K1","Nordjylland",36,"Index","Apartment"
"1994K2","Hele landet",23.9,"Index","Apartment"
"1994K2","Byen København",15,"Index","Apartment"
"1994K2","Københavns omegn",23.1,"Index","Apartment"
"1994K2","Nordsjælland",25.5,"Index","Apartment"
"1994K2","Bornholm",0,"Index","Apartment"
"1994K2","Østsjælland",26.8,"Index","Apartment"
"1994K2","Vest- og Sydsjælland",32.1,"Index","Apartment"
"1994K2","Fyn",31.6,"Index","Apartment"
"1994K2","Sydjylland",40.7,"Index","Apartment"
"1994K2","Østjylland",28.5,"Index","Apartment"
