"","Time","Area","Value","Metric","Type"
"1","1992K1","Hele landet",31.5,"Index","House"
"2","1992K1","Byen København",19.3,"Index","House"
"3","1992K1","Københavns omegn",21.4,"Index","House"
"4","1992K1","Nordsjælland",22.9,"Index","House"
"5","1992K1","Bornholm",0,"Index","House"
"6","1992K1","Østsjælland",24.9,"Index","House"
"7","1992K1","Vest- og Sydsjælland",31.9,"Index","House"
"8","1992K1","Fyn",34.4,"Index","House"
"9","1992K1","Sydjylland",41.1,"Index","House"
"10","1992K1","Østjylland",31.1,"Index","House"
"11","1992K1","Vestjylland",46.6,"Index","House"
"12","1992K1","Nordjylland",41.7,"Index","House"
"13","1992K2","Hele landet",31.5,"Index","House"
"14","1992K2","Byen København",19.6,"Index","House"
"15","1992K2","Københavns omegn",21.2,"Index","House"
"16","1992K2","Nordsjælland",22.8,"Index","House"
"17","1992K2","Bornholm",0,"Index","House"
"18","1992K2","Østsjælland",24.9,"Index","House"
"19","1992K2","Vest- og Sydsjælland",31.9,"Index","House"
"20","1992K2","Fyn",34.7,"Index","House"
"21","1992K2","Sydjylland",40.9,"Index","House"
"22","1992K2","Østjylland",31.1,"Index","House"
"23","1992K2","Vestjylland",46.4,"Index","House"
"24","1992K2","Nordjylland",42,"Index","House"
"25","1992K3","Hele landet",30.9,"Index","House"
"26","1992K3","Byen København",19.5,"Index","House"
"27","1992K3","Københavns omegn",20.6,"Index","House"
"28","1992K3","Nordsjælland",22.2,"Index","House"
"29","1992K3","Bornholm",0,"Index","House"
"30","1992K3","Østsjælland",24.4,"Index","House"
"31","1992K3","Vest- og Sydsjælland",31.1,"Index","House"
"32","1992K3","Fyn",34,"Index","House"
"33","1992K3","Sydjylland",40.7,"Index","House"
"34","1992K3","Østjylland",31,"Index","House"
"35","1992K3","Vestjylland",45.3,"Index","House"
"36","1992K3","Nordjylland",40.6,"Index","House"
"37","1992K4","Hele landet",30.1,"Index","House"
"38","1992K4","Byen København",18.5,"Index","House"
"39","1992K4","Københavns omegn",20.3,"Index","House"
"40","1992K4","Nordsjælland",21.5,"Index","House"
"41","1992K4","Bornholm",0,"Index","House"
"42","1992K4","Østsjælland",23.6,"Index","House"
"43","1992K4","Vest- og Sydsjælland",30.2,"Index","House"
"44","1992K4","Fyn",33.2,"Index","House"
"45","1992K4","Sydjylland",39.8,"Index","House"
"46","1992K4","Østjylland",29.9,"Index","House"
"47","1992K4","Vestjylland",44.6,"Index","House"
"48","1992K4","Nordjylland",40.3,"Index","House"
"49","1993K1","Hele landet",29.7,"Index","House"
"50","1993K1","Byen København",18.5,"Index","House"
"51","1993K1","Københavns omegn",19.9,"Index","House"
"52","1993K1","Nordsjælland",21.3,"Index","House"
"53","1993K1","Bornholm",0,"Index","House"
"54","1993K1","Østsjælland",23.2,"Index","House"
"55","1993K1","Vest- og Sydsjælland",29.9,"Index","House"
"56","1993K1","Fyn",33.3,"Index","House"
"57","1993K1","Sydjylland",39.3,"Index","House"
"58","1993K1","Østjylland",29.2,"Index","House"
"59","1993K1","Vestjylland",44.1,"Index","House"
"60","1993K1","Nordjylland",39.3,"Index","House"
"61","1993K2","Hele landet",29.5,"Index","House"
"62","1993K2","Byen København",18.4,"Index","House"
"63","1993K2","Københavns omegn",19.9,"Index","House"
"64","1993K2","Nordsjælland",21.1,"Index","House"
