"","Time","Area","Value","Metric","Type"
"1","1992K1","Hele landet",23.7,"Index","Apartment"
"2","1992K1","Byen København",15.1,"Index","Apartment"
"3","1992K1","Københavns omegn",23.2,"Index","Apartment"
"4","1992K1","Nordsjælland",25.6,"Index","Apartment"
"5","1992K1","Bornholm",0,"Index","Apartment"
"6","1992K1","Østsjælland",25.2,"Index","Apartment"
"7","1992K1","Vest- og Sydsjælland",33.2,"Index","Apartment"
"8","1992K1","Fyn",30.8,"Index","Apartment"
"9","1992K1","Sydjylland",39.3,"Index","Apartment"
"10","1992K1","Østjylland",27.5,"Index","Apartment"
"11","1992K1","Vestjylland",46.6,"Index","Apartment"
"12","1992K1","Nordjylland",35,"Index","Apartment"
"13","1992K2","Hele landet",23.2,"Index","Apartment"
"14","1992K2","Byen København",15,"Index","Apartment"
"15","1992K2","Københavns omegn",22.6,"Index","Apartment"
"16","1992K2","Nordsjælland",24.2,"Index","Apartment"
"17","1992K2","Bornholm",0,"Index","Apartment"
"18","1992K2","Østsjælland",25.4,"Index","Apartment"
"19","1992K2","Vest- og Sydsjælland",31.7,"Index","Apartment"
"20","1992K2","Fyn",30.5,"Index","Apartment"
"21","1992K2","Sydjylland",40.9,"Index","Apartment"
"22","1992K2","Østjylland",26.9,"Index","Apartment"
"23","1992K2","Vestjylland",46,"Index","Apartment"
"24","1992K2","Nordjylland",34.1,"Index","Apartment"
"25","1992K3","Hele landet",22.5,"Index","Apartment"
"26","1992K3","Byen København",14.3,"Index","Apartment"
"27","1992K3","Københavns omegn",21.9,"Index","Apartment"
"28","1992K3","Nordsjælland",23.3,"Index","Apartment"
"29","1992K3","Bornholm",0,"Index","Apartment"
"30","1992K3","Østsjælland",25.6,"Index","Apartment"
"31","1992K3","Vest- og Sydsjælland",31.8,"Index","Apartment"
"32","1992K3","Fyn",29.3,"Index","Apartment"
"33","1992K3","Sydjylland",37.9,"Index","Apartment"
"34","1992K3","Østjylland",26.5,"Index","Apartment"
"35","1992K3","Vestjylland",46.1,"Index","Apartment"
"36","1992K3","Nordjylland",32.8,"Index","Apartment"
"37","1992K4","Hele landet",21.7,"Index","Apartment"
"38","1992K4","Byen København",13.9,"Index","Apartment"
"39","1992K4","Københavns omegn",20.8,"Index","Apartment"
"40","1992K4","Nordsjælland",21.7,"Index","Apartment"
"41","1992K4","Bornholm",0,"Index","Apartment"
"42","1992K4","Østsjælland",22.9,"Index","Apartment"
"43","1992K4","Vest- og Sydsjælland",30.1,"Index","Apartment"
"44","1992K4","Fyn",29.4,"Index","Apartment"
"45","1992K4","Sydjylland",38.6,"Index","Apartment"
"46","1992K4","Østjylland",25.8,"Index","Apartment"
"47","1992K4","Vestjylland",45.8,"Index","Apartment"
"48","1992K4","Nordjylland",32.7,"Index","Apartment"
"49","1993K1","Hele landet",21.1,"Index","Apartment"
"50","1993K1","Byen København",13.5,"Index","Apartment"
"51","1993K1","Københavns omegn",20.4,"Index","Apartment"
"52","1993K1","Nordsjælland",21.9,"Index","Apartment"
"53","1993K1","Bornholm",0,"Index","Apartment"
"54","1993K1","Østsjælland",24,"Index","Apartment"
"55","1993K1","Vest- og Sydsjælland",30.8,"Index","Apartment"
"56","1993K1","Fyn",29,"Index","Apartment"
"57","1993K1","Sydjylland",36.4,"Index","Apartment"
"58","1993K1","Østjylland",24.2,"Index","Apartment"
"59","1993K1","Vestjylland",44.1,"Index","Apartment"
"60","1993K1","Nordjylland",31.6,"Index","Apartment"
"61","1993K2","Hele landet",20.9,"Index","Apartment"
"62","1993K2","Byen København",13.2,"Index","Apartment"
"63","1993K2","Københavns omegn",20.7,"Index","Apartment"
"64","1993K2","Nordsjælland",22,"Index","Apartment"
"65","1993K2","Bornholm",0,"Index","Apartment"
"66","1993K2","Østsjælland",22.7,"Index","Apartment"
"67","1993K2","Vest- og Sydsjælland",29.6,"Index","Apartment"
"68","1993K2","Fyn",28,"Index","Apartment"
"69","1993K2","Sydjylland",36.5,"Index","Apartment"
"70","1993K2","Østjylland",24.5,"Index","Apartment"
"71","1993K2","Vestjylland",45.1,"Index","Apartment"
"72","1993K2","Nordjylland",31.7,"Index","Apartment"
"73","1993K3","Hele landet",22,"Index","Apartment"
