"","Time","Area","Value","Metric","Type"
"1","1992K1","Hele landet",29.5,"Index","Vacation house"
"2","1992K1"," Byen København",0,"Index","Vacation house"
"3","1992K1"," Københavns omegn",0,"Index","Vacation house"
"4","1992K1"," Nordsjælland",17.5,"Index","Vacation house"
"5","1992K1"," Bornholm",0,"Index","Vacation house"
"6","1992K1"," Østsjælland",17.9,"Index","Vacation house"
"7","1992K1"," Vest- og Sydsjælland",22.1,"Index","Vacation house"
"8","1992K1"," Fyn",27.3,"Index","Vacation house"
"9","1992K1"," Sydjylland",32.3,"Index","Vacation house"
"10","1992K1"," Østjylland",25.4,"Index","Vacation house"
"11","1992K1"," Vestjylland",39.8,"Index","Vacation house"
"12","1992K1"," Nordjylland",31.4,"Index","Vacation house"
"13","1992K2","Hele landet",29,"Index","Vacation house"
"14","1992K2"," Byen København",0,"Index","Vacation house"
"15","1992K2"," Københavns omegn",0,"Index","Vacation house"
"16","1992K2"," Nordsjælland",17.4,"Index","Vacation house"
"17","1992K2"," Bornholm",0,"Index","Vacation house"
"18","1992K2"," Østsjælland",17.7,"Index","Vacation house"
"19","1992K2"," Vest- og Sydsjælland",21.7,"Index","Vacation house"
"20","1992K2"," Fyn",27.2,"Index","Vacation house"
"21","1992K2"," Sydjylland",31.1,"Index","Vacation house"
"22","1992K2"," Østjylland",26.2,"Index","Vacation house"
"23","1992K2"," Vestjylland",39.1,"Index","Vacation house"
"24","1992K2"," Nordjylland",30.6,"Index","Vacation house"
"25","1992K3","Hele landet",28.7,"Index","Vacation house"
"26","1992K3"," Byen København",0,"Index","Vacation house"
"27","1992K3"," Københavns omegn",0,"Index","Vacation house"
"28","1992K3"," Nordsjælland",16.7,"Index","Vacation house"
"29","1992K3"," Bornholm",0,"Index","Vacation house"
"30","1992K3"," Østsjælland",17.7,"Index","Vacation house"
"31","1992K3"," Vest- og Sydsjælland",21.1,"Index","Vacation house"
"32","1992K3"," Fyn",29.1,"Index","Vacation house"
"33","1992K3"," Sydjylland",31.6,"Index","Vacation house"
"34","1992K3"," Østjylland",24.9,"Index","Vacation house"
"35","1992K3"," Vestjylland",40.8,"Index","Vacation house"
"36","1992K3"," Nordjylland",31.6,"Index","Vacation house"
"37","1992K4","Hele landet",28.7,"Index","Vacation house"
"38","1992K4"," Byen København",0,"Index","Vacation house"
"39","1992K4"," Københavns omegn",0,"Index","Vacation house"
"40","1992K4"," Nordsjælland",17,"Index","Vacation house"
"41","1992K4"," Bornholm",0,"Index","Vacation house"
