"Time","Hele landet","Byen København","Københavns omegn","Nordsjælland","Bornholm","Østsjælland","Vest- og Sydsjælland","Fyn","Sydjylland","Østjylland","Vestjylland","Nordjylland"
"1992K1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1992K2",-2.1,-0.7,-2.6,-5.5,0.0,0.8,-4.5,-1.0,4.1,-2.2,-1.3,-2.6
"1992K3",-3.0,-4.7,-3.1,-3.7,0.0,0.8,0.3,-3.9,-7.3,-1.5,0.2,-3.8
"1992K4",-3.6,-2.8,-5.0,-6.9,0.0,-10.5,-5.3,0.3,1.8,-2.6,-0.7,-0.3
"1993K1",-2.8,-2.9,-1.9,0.9,0.0,4.8,2.3,-1.4,-5.7,-6.2,-3.7,-3.4
"1993K2",-0.9,-2.2,1.5,0.5,0.0,-5.4,-3.9,-3.4,0.3,1.2,2.3,0.3
"1993K3",5.3,5.3,3.4,5.9,0.0,6.6,0.7,5.0,0.5,6.5,-3.3,4.1
"1993K4",4.1,4.3,3.3,2.6,0.0,7.4,2.7,5.8,8.7,4.6,7.1,4.8
"1994K1",5.7,6.2,7.7,7.5,0.0,6.5,5.2,4.5,2.5,3.7,8.1,4.0
"1994K2",-1.2,-2.6,-2.9,-0.8,0.0,-3.2,-0.3,-2.8,-0.5,0.7,-2.4,0.3
"1994K3",-1.7,-1.3,-1.3,-2.0,0.0,-0.7,-3.1,0.0,-3.9,-1.1,-3.9,-1.4
"1994K4",-0.4,0.0,0.0,1.2,0.0,-1.9,-2.6,2.5,2.3,-3.2,2.7,0.3
"1995K1",2.1,2.7,1.8,0.8,0.0,0.4,1.7,1.2,-0.3,3.7,-1.8,0.8
"1995K2",4.2,5.3,4.3,3.9,0.0,7.6,7.8,3.4,5.8,4.2,7.3,3.1
"1995K3",2.8,0.6,5.4,1.9,0.0,-1.8,0.6,2.9,0.9,5.1,-1.9,2.2
"1995K4",2.0,4.3,-0.8,3.7,0.0,3.6,2.1,0.6,1.9,0.3,4.2,2.6
"1996K1",2.3,8.3,4.0,-0.4,0.0,3.1,1.8,3.7,4.1,4.5,0.8,7.7
"1996K2",3.4,3.3,3.0,1.8,0.0,5.4,3.7,5.8,1.1,3.7,1.9,1.7
"1996K3",3.3,3.2,2.2,3.2,0.0,1.3,1.7,-1.8,2.4,4.7,5.8,4.2
"1996K4",3.2,3.6,4.0,1.4,0.0,3.5,2.2,3.4,4.9,3.7,-1.2,2.0
"1997K1",3.1,0.0,-2.1,1.7,0.0,0.9,-4.0,2.6,-0.2,0.8,-0.2,-0.2
"1997K2",3.6,4.5,3.5,3.6,0.0,3.9,3.9,1.5,2.9,2.2,0.5,2.9
"1997K3",2.9,2.4,3.4,3.2,0.0,2.0,1.9,4.4,0.2,2.7,2.1,3.2
"1997K4",1.9,2.8,1.0,0.6,0.0,2.9,-1.8,1.9,2.4,2.8,5.2,2.1
"1998K1",2.7,10.9,8.5,6.8,0.0,1.9,4.6,5.8,3.5,2.5,-0.5,6.3
"1998K2",5.3,6.5,3.9,4.0,0.0,4.4,1.8,3.7,5.6,3.9,5.6,4.0
"1998K3",2.8,5.4,0.9,1.7,0.0,3.9,4.5,0.4,-1.6,1.9,-6.1,4.2
"1998K4",3.3,4.0,5.5,3.3,0.0,1.5,2.4,2.9,0.0,0.2,6.9,2.3
"1999K1",4.0,4.2,1.9,3.4,0.0,5.0,1.2,1.2,6.8,3.2,3.0,4.0
"1999K2",2.8,5.7,4.6,2.3,0.0,0.0,1.9,3.2,0.0,0.9,1.2,2.7
"1999K3",3.5,3.8,3.3,4.7,0.0,6.1,5.5,-0.6,2.9,3.1,2.7,2.9
