"Time","Hele landet","Byen København","Københavns omegn","Nordsjælland","Bornholm","Østsjælland","Vest- og Sydsjælland","Fyn","Sydjylland","Østjylland","Vestjylland","Nordjylland"
"1992K1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1992K2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1992K3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1992K4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1993K1",-11.0,-10.6,-12.1,-14.5,0.0,-4.8,-7.2,-5.8,-7.4,-12.0,-5.4,-9.7
"1993K2",-9.9,-12.0,-8.4,-9.1,0.0,-10.6,-6.6,-8.2,-10.8,-8.9,-2.0,-7.0
"1993K3",-2.2,-2.8,-2.3,0.0,0.0,-5.5,-6.3,0.3,-3.2,-1.5,-5.4,0.6
"1993K4",5.5,4.3,6.3,10.1,0.0,13.5,1.7,5.8,3.4,5.8,2.0,5.8
"1994K1",14.7,14.1,16.7,17.4,0.0,15.4,4.5,12.1,12.4,16.9,14.5,13.9
"1994K2",14.4,13.6,11.6,15.9,0.0,18.1,8.4,12.9,11.5,16.3,9.3,13.9
"1994K3",6.8,6.5,6.5,7.3,0.0,9.9,4.4,7.5,6.5,8.0,8.7,7.9
"1994K4",2.2,2.1,3.2,5.9,0.0,0.4,-1.0,4.2,0.3,0.0,4.3,3.2
"1995K1",-1.2,-1.3,-2.5,-0.8,0.0,-5.4,-4.3,0.9,-2.4,0.0,-5.3,0.0
"1995K2",4.2,6.7,4.8,3.9,0.0,5.2,3.4,7.3,3.7,3.5,4.1,2.8
"1995K3",8.9,8.8,11.8,8.0,0.0,4.1,7.4,10.4,9.0,9.9,6.1,6.5
"1995K4",11.5,13.5,11.0,10.7,0.0,10.0,12.5,8.3,8.5,13.9,7.6,9.0
"1996K1",11.7,19.7,13.4,9.4,0.0,13.0,12.7,11.0,13.3,14.8,10.5,16.4
"1996K2",10.8,17.5,12.0,7.2,0.0,10.6,8.4,13.6,8.3,14.2,4.9,14.8
"1996K3",11.3,20.5,8.6,8.5,0.0,14.1,9.6,8.3,9.9,13.9,13.1,17.2
"1996K4",12.6,19.6,13.8,6.1,0.0,13.9,9.7,11.4,13.1,17.7,7.3,16.5
"1997K1",13.5,10.4,7.2,8.2,0.0,11.5,3.5,10.2,8.4,13.5,6.3,7.9
"1997K2",13.8,11.7,7.7,10.2,0.0,9.9,3.6,5.7,10.3,11.9,4.8,9.2
"1997K3",13.3,10.8,9.0,10.2,0.0,10.8,3.8,12.4,7.9,9.6,1.2,8.1
"1997K4",11.9,10.0,5.9,9.4,0.0,10.1,-0.3,10.7,5.3,8.7,7.8,8.2
"1998K1",11.6,21.9,17.4,14.9,0.0,11.2,8.6,14.2,9.2,10.6,7.5,15.3
"1998K2",13.4,24.3,17.8,15.3,0.0,11.7,6.4,16.7,12.1,12.5,12.9,16.6
"1998K3",13.3,27.9,14.9,13.6,0.0,13.7,9.2,12.2,10.1,11.6,3.8,17.7
"1998K4",14.9,29.4,20.0,16.6,0.0,12.2,13.9,13.4,7.5,8.8,5.4,18.0
"1999K1",16.3,21.6,12.7,13.0,0.0,15.5,10.3,8.5,11.0,9.6,9.1,15.4
"1999K2",13.5,20.7,13.4,11.1,0.0,10.7,10.3,8.0,5.1,6.4,4.6,13.8
"1999K3",14.2,18.9,16.1,14.4,0.0,13.1,11.3,6.9,9.9,7.6,14.4,12.4
"1999K4",11.4,16.1,12.0,10.6,0.0,10.9,8.2,0.8,9.5,9.5,7.0,8.0
"2000K1",11.7,18.5,15.5,12.5,0.0,9.9,12.1,8.7,6.4,6.7,2.4,5.8
"2000K2",12.1,17.1,12.3,12.5,0.0,11.1,13.7,6.8,8.4,8.0,3.3,7.1
"2000K3",11.0,15.9,13.9,10.5,0.0,10.2,11.7,7.8,6.1,6.2,1.3,2.2
"2000K4",13.5,19.6,14.1,15.3,0.0,12.7,12.6,10.5,6.7,4.0,-0.7,5.6
"2001K1",13.0,18.7,12.8,15.4,0.0,11.6,12.2,3.3,4.0,6.1,4.9,4.6
"2001K2",13.0,18.2,16.0,16.6,0.0,13.4,11.4,7.7,3.0,4.5,2.5,0.5
"2001K3",13.8,20.6,13.3,13.1,0.0,9.3,11.4,2.7,5.1,5.7,6.6,6.0
"2001K4",11.1,15.1,13.9,12.2,0.0,7.7,12.7,8.0,4.2,4.5,5.7,2.9
"2002K1",10.3,14.8,11.5,10.4,0.0,6.0,12.8,5.0,5.6,4.2,4.8,2.9
"2002K2",9.8,14.7,11.0,10.1,0.0,7.3,11.5,0.3,4.8,5.5,9.5,1.5
"2002K3",8.5,12.0,10.8,11.8,0.0,9.2,7.3,6.0,3.5,4.8,1.4,-0.9
"2002K4",7.9,11.6,8.6,7.7,0.0,9.7,11.5,1.7,4.4,5.6,2.8,-1.5
"2003K1",9.7,11.9,11.1,9.1,0.0,12.9,11.5,8.9,1.7,6.8,3.8,-0.7
"2003K2",8.0,8.2,8.5,4.5,0.0,4.7,13.2,6.3,17.4,8.6,-0.6,2.5
"2003K3",7.3,7.8,6.4,3.2,0.0,7.3,13.5,8.2,4.7,8.6,3.6,5.0
"2003K4",5.8,5.7,3.1,5.1,0.0,3.0,4.8,3.5,6.2,9.6,4.3,3.9
"2004K1",3.7,3.9,1.8,2.1,0.0,2.1,1.8,0.5,5.8,10.5,2.1,6.5
"2004K2",6.9,7.9,5.1,4.1,0.0,11.7,1.3,5.4,-4.5,14.8,6.0,4.5
"2004K3",8.6,10.5,5.7,5.6,0.0,9.4,2.4,5.2,6.8,17.7,6.7,3.6
"2004K4",14.5,18.6,12.7,8.3,0.0,13.7,8.5,12.2,8.9,20.1,7.0,11.4
"2005K1",17.0,22.0,14.7,16.5,0.0,12.9,11.7,14.8,12.9,20.7,7.6,5.7
"2005K2",21.1,29.5,18.0,19.0,0.0,12.7,15.4,13.1,12.6,18.8,9.6,12.0
"2005K3",26.5,36.7,26.4,21.7,0.0,13.4,16.3,20.5,13.8,21.3,7.0,14.2
"2005K4",28.4,37.9,30.6,31.1,0.0,16.5,18.0,21.9,14.9,22.9,10.2,13.3
"2006K1",29.5,39.0,36.1,26.1,0.0,29.6,19.1,29.8,13.8,26.1,11.4,20.5
"2006K2",29.9,36.2,35.3,34.8,0.0,35.0,22.7,37.3,12.2,26.8,11.3,22.9
"2006K3",22.1,24.3,24.9,33.8,0.0,27.8,23.0,22.7,15.7,20.4,16.7,25.4
"2006K4",12.8,11.8,12.9,17.9,0.0,28.4,19.9,18.2,8.4,16.3,13.8,16.8
"2007K1",3.4,-0.1,-3.3,10.3,0.0,8.8,14.3,8.6,14.4,4.0,14.7,13.9
"2007K2",-5.8,-10.2,-9.3,-3.1,0.0,0.3,6.7,3.4,11.3,-2.3,10.9,3.8
"2007K3",-8.7,-12.2,-10.5,-8.4,0.0,0.5,0.0,5.9,1.1,-7.4,11.1,-1.8
"2007K4",-10.0,-12.4,-11.7,-9.1,0.0,-13.4,-0.4,2.3,8.1,-11.7,7.6,1.9
"2008K1",-8.2,-10.3,-4.0,-11.2,0.0,-10.4,-4.9,-1.9,-1.5,-7.4,6.4,0.0
"2008K2",-8.8,-9.9,-13.6,-6.5,0.0,-11.3,-0.2,-2.9,-2.1,-6.1,7.7,0.0
"2008K3",-10.5,-12.1,-16.5,-11.5,0.0,-15.1,-2.7,-0.2,1.3,-6.5,6.3,-2.4
"2008K4",-12.3,-14.3,-19.9,-1.7,0.0,-9.3,-10.5,-4.3,-10.1,-8.6,2.0,-6.1
"2009K1",-18.7,-19.7,-28.0,-22.9,0.0,-14.1,-11.7,-13.5,-3.2,-13.6,-3.9,-6.8
"2009K2",-15.5,-16.2,-19.2,-23.8,0.0,-16.2,-14.0,-16.4,-5.9,-11.7,2.4,-5.0
"2009K3",-11.6,-10.7,-16.1,-20.5,0.0,-14.8,-15.6,-12.9,-4.7,-6.9,-1.7,-4.7
"2009K4",-5.3,-1.9,-6.4,-24.3,0.0,-8.3,-9.4,-12.2,-0.6,-0.4,-3.0,-1.0
"2010K1",5.6,10.3,6.3,-4.2,0.0,-3.2,-2.3,-1.4,-7.7,7.4,2.3,1.3
"2010K2",6.9,10.0,8.3,-0.7,0.0,-2.1,-7.7,5.9,-0.9,8.1,-5.3,6.5
"2010K3",7.2,9.8,4.4,5.4,0.0,4.8,0.2,-2.9,5.0,7.8,-6.1,5.4
"2010K4",6.3,7.7,7.6,2.3,0.0,2.4,0.6,4.3,7.2,4.7,2.9,3.4
"2011K1",4.7,5.5,4.1,6.2,0.0,5.8,-7.5,1.2,0.4,5.1,-0.6,1.9
"2011K2",1.6,5.2,0.9,0.6,0.0,0.5,-8.7,-2.5,-11.6,0.9,-1.0,-0.9
"2011K3",-2.9,-1.9,-0.7,-6.2,0.0,-7.3,-4.1,-11.4,-7.3,-2.1,-6.3,-4.7
"2011K4",-3.8,-1.7,-6.1,-11.0,0.0,-10.9,-12.8,-8.2,-14.3,-3.7,-0.3,-0.8
"2012K1",-3.9,-1.5,-7.9,-10.2,0.0,-13.6,-11.1,-5.2,-7.6,-5.2,7.8,-1.9
"2012K2",-3.1,-2.7,-7.3,-7.2,0.0,-2.8,-2.3,-9.9,-8.1,-2.7,-1.8,-3.3
"2012K3",3.6,5.6,4.1,-2.4,0.0,3.9,-12.1,14.5,-4.4,-1.8,11.6,0.7
"2012K4",4.9,6.4,5.1,0.5,0.0,2.0,-0.9,4.2,0.7,3.6,4.9,3.0
"2013K1",7.0,8.7,9.7,2.5,0.0,7.8,1.0,3.7,4.4,1.3,-8.6,7.4
"2013K2",9.7,13.0,8.4,8.0,0.0,4.1,-8.2,11.4,15.0,1.6,3.9,4.5
"2013K3",8.0,10.3,4.5,2.8,0.0,0.9,5.9,1.9,-1.0,8.1,-8.8,10.7
"2013K4",8.6,12.0,5.6,7.9,0.0,6.3,2.3,4.5,3.7,2.6,-4.1,4.2
"2014K1",8.8,12.6,6.9,8.9,0.0,-1.2,4.5,5.6,-3.0,2.2,-0.1,-1.4
"2014K2",9.0,10.6,11.1,-0.4,0.0,-0.1,8.3,4.2,0.5,5.3,-0.2,5.7
"2014K3",8.4,11.0,8.6,6.3,0.0,3.4,0.3,-2.4,5.0,3.1,-1.1,3.6
"2014K4",8.2,9.4,6.1,4.7,0.0,6.3,1.2,-3.9,1.9,7.3,3.4,5.5
"2015K1",9.4,10.4,6.6,2.4,0.0,11.9,3.5,9.3,5.6,10.1,1.6,9.6
"2015K2",10.2,13.1,7.1,9.5,0.0,12.3,1.3,4.8,4.7,7.1,7.0,9.8
"2015K3",11.6,14.1,12.6,4.1,0.0,12.7,8.3,7.0,7.1,6.5,17.5,7.2
"2015K4",11.1,13.6,13.3,10.3,0.0,12.4,-3.4,20.5,6.5,5.3,-2.2,6.1
"2016K1",10.3,11.8,13.9,8.7,0.0,11.3,4.9,-0.1,5.1,7.8,12.8,9.2
"2016K2",7.7,7.7,11.3,7.5,0.0,9.2,9.2,4.6,5.4,7.2,-6.8,6.9
"2016K3",6.8,7.7,7.5,9.5,0.0,9.4,-1.2,8.9,0.2,6.2,-6.6,7.9
"2016K4",7.1,9.4,9.1,0.4,0.0,10.7,14.0,-2.4,3.0,4.0,2.5,12.0
"2017K1",6.1,7.3,5.5,8.1,0.0,5.5,3.1,9.6,0.2,3.7,-3.4,6.7
"2017K2",6.6,8.4,8.8,7.4,0.0,9.5,1.3,10.3,-0.9,1.8,4.9,5.9
"2017K3",7.6,9.7,8.5,7.1,0.0,4.7,10.8,4.1,-0.1,3.2,1.0,8.8
"2017K4",7.0,6.3,11.0,13.7,0.0,5.2,5.0,10.2,-1.9,7.2,7.8,2.3
"2018K1",7.5,8.8,9.7,6.1,0.0,2.6,4.8,8.5,10.8,3.4,2.6,3.9
"2018K2",6.6,7.9,8.4,5.0,0.0,3.7,7.2,7.4,4.9,5.0,7.9,2.3
"2018K3",3.2,2.8,6.2,10.8,0.0,7.8,4.8,7.5,5.5,2.4,7.1,-2.3
"2018K4",2.1,2.4,0.6,5.1,0.0,3.6,-1.3,6.2,13.7,-1.1,3.9,-0.7
"2019K1",-0.7,-1.0,3.4,4.2,0.0,9.8,7.1,3.0,-3.6,1.4,-3.0,-5.2
"2019K2",-0.2,-1.4,0.3,3.5,0.0,2.3,6.3,6.9,4.2,0.1,-5.8,1.1
"2019K3",0.4,-0.4,-0.1,-1.7,0.0,2.9,4.3,2.1,0.7,-0.1,2.9,1.3
"2019K4",1.5,1.9,4.7,2.2,0.0,1.2,8.1,0.7,-7.8,1.0,-5.5,-3.1
"2020K1",3.4,3.0,4.4,3.6,0.0,0.3,3.4,-1.1,-0.3,-0.8,-3.1,6.1
"2020K2",2.5,4.4,-0.3,2.0,0.0,3.2,0.3,-2.3,-5.7,0.0,11.2,-0.1
"2020K3",6.7,7.4,6.0,6.5,0.0,2.9,-1.7,1.1,-1.4,4.6,0.7,0.1
"2020K4",8.8,10.4,4.1,3.4,0.0,2.0,9.2,2.2,-0.1,8.1,8.4,10.5
"2021K1",12.1,14.1,9.6,9.8,0.0,10.7,5.3,5.9,6.7,11.3,14.0,2.9
"2021K2",12.1,13.9,15.4,15.6,0.0,13.5,12.4,-2.9,11.8,12.8,-1.1,2.7
"2021K3",10.1,13.7,12.1,14.7,0.0,9.1,13.8,8.7,8.1,8.8,4.4,7.8
"2021K4",7.6,8.8,11.2,16.2,0.0,9.2,3.7,6.4,5.6,7.0,6.2,1.7
"2022K1",5.0,6.7,5.0,7.5,0.0,5.8,6.0,2.0,2.1,6.3,3.8,4.9
"2022K2",4.4,6.0,7.1,6.1,0.0,3.4,2.5,7.2,-0.7,3.7,3.4,5.6
"2022K3",-2.2,-0.3,1.1,1.3,0.0,-2.7,-6.4,-5.9,-1.0,-1.9,-0.6,-4.2
"2022K4",-4.4,-3.7,-3.1,-8.6,0.0,-0.6,-11.4,-9.6,2.5,-4.5,-7.3,0.1
"2023K1",-6.4,-7.1,-8.9,-6.9,0.0,-11.5,-6.0,-6.3,-5.6,-5.8,-3.0,-5.2

