"Time","Area","Value","Metric","Category"
"1992K1","Hele landet","0.0","Pct_q","Vacation house"
"1992K1"," Byen København","0.0","Pct_q","Vacation house"
"1992K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1992K1"," Nordsjælland","0.0","Pct_q","Vacation house"
"1992K1"," Bornholm","0.0","Pct_q","Vacation house"
"1992K1"," Østsjælland","0.0","Pct_q","Vacation house"
"1992K1"," Vest- og Sydsjælland","0.0","Pct_q","Vacation house"
"1992K1"," Fyn","0.0","Pct_q","Vacation house"
"1992K1"," Sydjylland","0.0","Pct_q","Vacation house"
"1992K1"," Østjylland","0.0","Pct_q","Vacation house"
"1992K1"," Vestjylland","0.0","Pct_q","Vacation house"
"1992K1"," Nordjylland","0.0","Pct_q","Vacation house"
"1992K2","Hele landet","-1.7","Pct_q","Vacation house"
"1992K2"," Byen København","0.0","Pct_q","Vacation house"
"1992K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1992K2"," Nordsjælland","-0.6","Pct_q","Vacation house"
"1992K2"," Bornholm","0.0","Pct_q","Vacation house"
"1992K2"," Østsjælland","-1.1","Pct_q","Vacation house"
"1992K2"," Vest- og Sydsjælland","-1.8","Pct_q","Vacation house"
"1992K2"," Fyn","-0.4","Pct_q","Vacation house"
"1992K2"," Sydjylland","-3.7","Pct_q","Vacation house"
"1992K2"," Østjylland","3.1","Pct_q","Vacation house"
"1992K2"," Vestjylland","-1.8","Pct_q","Vacation house"
"1992K2"," Nordjylland","-2.5","Pct_q","Vacation house"
"1992K3","Hele landet","-1.0","Pct_q","Vacation house"
"1992K3"," Byen København","0.0","Pct_q","Vacation house"
"1992K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1992K3"," Nordsjælland","-4.0","Pct_q","Vacation house"
"1992K3"," Bornholm","0.0","Pct_q","Vacation house"
"1992K3"," Østsjælland","0.0","Pct_q","Vacation house"
"1992K3"," Vest- og Sydsjælland","-2.8","Pct_q","Vacation house"
"1992K3"," Fyn","7.0","Pct_q","Vacation house"
"1992K3"," Sydjylland","1.6","Pct_q","Vacation house"
"1992K3"," Østjylland","-5.0","Pct_q","Vacation house"
"1992K3"," Vestjylland","4.3","Pct_q","Vacation house"
"1992K3"," Nordjylland","3.3","Pct_q","Vacation house"
"1992K4","Hele landet","0.0","Pct_q","Vacation house"
"1992K4"," Byen København","0.0","Pct_q","Vacation house"
"1992K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1992K4"," Nordsjælland","1.8","Pct_q","Vacation house"
"1992K4"," Bornholm","0.0","Pct_q","Vacation house"
"1992K4"," Østsjælland","-4.0","Pct_q","Vacation house"
"1992K4"," Vest- og Sydsjælland","0.0","Pct_q","Vacation house"
"1992K4"," Fyn","-5.5","Pct_q","Vacation house"
"1992K4"," Sydjylland","-2.2","Pct_q","Vacation house"
"1992K4"," Østjylland","6.0","Pct_q","Vacation house"
"1992K4"," Vestjylland","-2.2","Pct_q","Vacation house"
"1992K4"," Nordjylland","-3.2","Pct_q","Vacation house"
"1993K1","Hele landet","-0.7","Pct_q","Vacation house"
"1993K1"," Byen København","0.0","Pct_q","Vacation house"
"1993K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1993K1"," Nordsjælland","-2.4","Pct_q","Vacation house"
"1993K1"," Bornholm","0.0","Pct_q","Vacation house"
"1993K1"," Østsjælland","2.4","Pct_q","Vacation house"
"1993K1"," Vest- og Sydsjælland","-1.4","Pct_q","Vacation house"
"1993K1"," Fyn","-2.5","Pct_q","Vacation house"
"1993K1"," Sydjylland","-1.0","Pct_q","Vacation house"
"1993K1"," Østjylland","-3.8","Pct_q","Vacation house"
"1993K1"," Vestjylland","-1.3","Pct_q","Vacation house"
"1993K1"," Nordjylland","2.0","Pct_q","Vacation house"
"1993K2","Hele landet","-0.4","Pct_q","Vacation house"
"1993K2"," Byen København","0.0","Pct_q","Vacation house"
"1993K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1993K2"," Nordsjælland","-2.4","Pct_q","Vacation house"
"1993K2"," Bornholm","0.0","Pct_q","Vacation house"
"1993K2"," Østsjælland","-8.0","Pct_q","Vacation house"
"1993K2"," Vest- og Sydsjælland","1.0","Pct_q","Vacation house"
"1993K2"," Fyn","4.5","Pct_q","Vacation house"
"1993K2"," Sydjylland","0.3","Pct_q","Vacation house"
"1993K2"," Østjylland","2.0","Pct_q","Vacation house"
"1993K2"," Vestjylland","-0.5","Pct_q","Vacation house"
"1993K2"," Nordjylland","-0.6","Pct_q","Vacation house"
"1993K3","Hele landet","1.1","Pct_q","Vacation house"
"1993K3"," Byen København","0.0","Pct_q","Vacation house"
"1993K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1993K3"," Nordsjælland","3.1","Pct_q","Vacation house"
"1993K3"," Bornholm","0.0","Pct_q","Vacation house"
"1993K3"," Østsjælland","7.5","Pct_q","Vacation house"
"1993K3"," Vest- og Sydsjælland","1.4","Pct_q","Vacation house"
"1993K3"," Fyn","3.9","Pct_q","Vacation house"
"1993K3"," Sydjylland","3.6","Pct_q","Vacation house"
"1993K3"," Østjylland","-1.5","Pct_q","Vacation house"
"1993K3"," Vestjylland","-0.3","Pct_q","Vacation house"
"1993K3"," Nordjylland","0.0","Pct_q","Vacation house"
"1993K4","Hele landet","3.8","Pct_q","Vacation house"
"1993K4"," Byen København","0.0","Pct_q","Vacation house"
"1993K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1993K4"," Nordsjælland","3.6","Pct_q","Vacation house"
"1993K4"," Bornholm","0.0","Pct_q","Vacation house"
"1993K4"," Østsjælland","-0.6","Pct_q","Vacation house"
"1993K4"," Vest- og Sydsjælland","-2.3","Pct_q","Vacation house"
"1993K4"," Fyn","1.7","Pct_q","Vacation house"
"1993K4"," Sydjylland","10.7","Pct_q","Vacation house"
"1993K4"," Østjylland","4.3","Pct_q","Vacation house"
"1993K4"," Vestjylland","2.6","Pct_q","Vacation house"
"1993K4"," Nordjylland","0.0","Pct_q","Vacation house"
"1994K1","Hele landet","3.7","Pct_q","Vacation house"
"1994K1"," Byen København","0.0","Pct_q","Vacation house"
"1994K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1994K1"," Nordsjælland","1.7","Pct_q","Vacation house"
"1994K1"," Bornholm","0.0","Pct_q","Vacation house"
"1994K1"," Østsjælland","2.9","Pct_q","Vacation house"
"1994K1"," Vest- og Sydsjælland","8.2","Pct_q","Vacation house"
"1994K1"," Fyn","-0.3","Pct_q","Vacation house"
