" ";" ";" ";"Hele landet";"Landsdel Byen København";"Landsdel Københavns omegn";"Landsdel Nordsjælland";"Landsdel Bornholm";"Landsdel Østsjælland";"Landsdel Vest- og Sydsjælland";"Landsdel Fyn";"Landsdel Sydjylland";"Landsdel Østjylland";"Landsdel Vestjylland";"Landsdel Nordjylland"
"Indeks"
" ";"Ejerlejligheder, i alt"
" ";" ";"1992K1";23.7;15.1;23.2;25.6;0.0;25.2;33.2;30.8;39.3;27.5;46.6;35.0
" ";" ";"1992K2";23.2;15.0;22.6;24.2;0.0;25.4;31.7;30.5;40.9;26.9;46.0;34.1
" ";" ";"1992K3";22.5;14.3;21.9;23.3;0.0;25.6;31.8;29.3;37.9;26.5;46.1;32.8
" ";" ";"1992K4";21.7;13.9;20.8;21.7;0.0;22.9;30.1;29.4;38.6;25.8;45.8;32.7
" ";" ";"1993K1";21.1;13.5;20.4;21.9;0.0;24.0;30.8;29.0;36.4;24.2;44.1;31.6
" ";" ";"1993K2";20.9;13.2;20.7;22.0;0.0;22.7;29.6;28.0;36.5;24.5;45.1;31.7
" ";" ";"1993K3";22.0;13.9;21.4;23.3;0.0;24.2;29.8;29.4;36.7;26.1;43.6;33.0
" ";" ";"1993K4";22.9;14.5;22.1;23.9;0.0;26.0;30.6;31.1;39.9;27.3;46.7;34.6
" ";" ";"1994K1";24.2;15.4;23.8;25.7;0.0;27.7;32.2;32.5;40.9;28.3;50.5;36.0
" ";" ";"1994K2";23.9;15.0;23.1;25.5;0.0;26.8;32.1;31.6;40.7;28.5;49.3;36.1
" ";" ";"1994K3";23.5;14.8;22.8;25.0;0.0;26.6;31.1;31.6;39.1;28.2;47.4;35.6
" ";" ";"1994K4";23.4;14.8;22.8;25.3;0.0;26.1;30.3;32.4;40.0;27.3;48.7;35.7
" ";" ";"1995K1";23.9;15.2;23.2;25.5;0.0;26.2;30.8;32.8;39.9;28.3;47.8;36.0
" ";" ";"1995K2";24.9;16.0;24.2;26.5;0.0;28.2;33.2;33.9;42.2;29.5;51.3;37.1
" ";" ";"1995K3";25.6;16.1;25.5;27.0;0.0;27.7;33.4;34.9;42.6;31.0;50.3;37.9
" ";" ";"1995K4";26.1;16.8;25.3;28.0;0.0;28.7;34.1;35.1;43.4;31.1;52.4;38.9
" ";" ";"1996K1";26.7;18.2;26.3;27.9;0.0;29.6;34.7;36.4;45.2;32.5;52.8;41.9
" ";" ";"1996K2";27.6;18.8;27.1;28.4;0.0;31.2;36.0;38.5;45.7;33.7;53.8;42.6
" ";" ";"1996K3";28.5;19.4;27.7;29.3;0.0;31.6;36.6;37.8;46.8;35.3;56.9;44.4
" ";" ";"1996K4";29.4;20.1;28.8;29.7;0.0;32.7;37.4;39.1;49.1;36.6;56.2;45.3
" ";" ";"1997K1";30.3;20.1;28.2;30.2;0.0;33.0;35.9;40.1;49.0;36.9;56.1;45.2
" ";" ";"1997K2";31.4;21.0;29.2;31.3;0.0;34.3;37.3;40.7;50.4;37.7;56.4;46.5
" ";" ";"1997K3";32.3;21.5;30.2;32.3;0.0;35.0;38.0;42.5;50.5;38.7;57.6;48.0
" ";" ";"1997K4";32.9;22.1;30.5;32.5;0.0;36.0;37.3;43.3;51.7;39.8;60.6;49.0
" ";" ";"1998K1";33.8;24.5;33.1;34.7;0.0;36.7;39.0;45.8;53.5;40.8;60.3;52.1
" ";" ";"1998K2";35.6;26.1;34.4;36.1;0.0;38.3;39.7;47.5;56.5;42.4;63.7;54.2
" ";" ";"1998K3";36.6;27.5;34.7;36.7;0.0;39.8;41.5;47.7;55.6;43.2;59.8;56.5
" ";" ";"1998K4";37.8;28.6;36.6;37.9;0.0;40.4;42.5;49.1;55.6;43.3;63.9;57.8
" ";" ";"1999K1";39.3;29.8;37.3;39.2;0.0;42.4;43.0;49.7;59.4;44.7;65.8;60.1
" ";" ";"1999K2";40.4;31.5;39.0;40.1;0.0;42.4;43.8;51.3;59.4;45.1;66.6;61.7
" ";" ";"1999K3";41.8;32.7;40.3;42.0;0.0;45.0;46.2;51.0;61.1;46.5;68.4;63.5
" ";" ";"1999K4";42.1;33.2;41.0;41.9;0.0;44.8;46.0;49.5;60.9;47.4;68.4;62.4
" ";" ";"2000K1";43.9;35.3;43.1;44.1;0.0;46.6;48.2;54.0;63.2;47.7;67.4;63.6
" ";" ";"2000K2";45.3;36.9;43.8;45.1;0.0;47.1;49.8;54.8;64.4;48.7;68.8;66.1
" ";" ";"2000K3";46.4;37.9;45.9;46.4;0.0;49.6;51.6;55.0;64.8;49.4;69.3;64.9
" ";" ";"2000K4";47.8;39.7;46.8;48.3;0.0;50.5;51.8;54.7;65.0;49.3;67.9;65.9
" ";" ";"2001K1";49.6;41.9;48.6;50.9;0.0;52.0;54.1;55.8;65.7;50.6;70.7;66.5
" ";" ";"2001K2";51.2;43.6;50.8;52.6;0.0;53.4;55.5;59.0;66.3;50.9;70.5;66.4
" ";" ";"2001K3";52.8;45.7;52.0;52.5;0.0;54.2;57.5;56.5;68.1;52.2;73.9;68.8
" ";" ";"2001K4";53.1;45.7;53.3;54.2;0.0;54.4;58.4;59.1;67.7;51.5;71.8;67.8
" ";" ";"2002K1";54.7;48.1;54.2;56.2;0.0;55.1;61.0;58.6;69.4;52.7;74.1;68.4
" ";" ";"2002K2";56.2;50.0;56.4;57.9;0.0;57.3;61.9;59.2;69.5;53.7;77.2;67.4
" ";" ";"2002K3";57.3;51.2;57.6;58.7;0.0;59.2;61.7;59.9;70.5;54.7;74.9;68.2
