"Time","Area","Value","Metric","Category"
"1992K1","Hele landet","29.5","Index","Vacation house"
"1992K1"," Byen København","0.0","Index","Vacation house"
"1992K1"," Københavns omegn","0.0","Index","Vacation house"
"1992K1"," Nordsjælland","17.5","Index","Vacation house"
"1992K1"," Bornholm","0.0","Index","Vacation house"
"1992K1"," Østsjælland","17.9","Index","Vacation house"
"1992K1"," Vest- og Sydsjælland","22.1","Index","Vacation house"
"1992K1"," Fyn","27.3","Index","Vacation house"
"1992K1"," Sydjylland","32.3","Index","Vacation house"
"1992K1"," Østjylland","25.4","Index","Vacation house"
"1992K1"," Vestjylland","39.8","Index","Vacation house"
"1992K1"," Nordjylland","31.4","Index","Vacation house"
"1992K2","Hele landet","29.0","Index","Vacation house"
"1992K2"," Byen København","0.0","Index","Vacation house"
"1992K2"," Københavns omegn","0.0","Index","Vacation house"
"1992K2"," Nordsjælland","17.4","Index","Vacation house"
"1992K2"," Bornholm","0.0","Index","Vacation house"
"1992K2"," Østsjælland","17.7","Index","Vacation house"
"1992K2"," Vest- og Sydsjælland","21.7","Index","Vacation house"
"1992K2"," Fyn","27.2","Index","Vacation house"
"1992K2"," Sydjylland","31.1","Index","Vacation house"
"1992K2"," Østjylland","26.2","Index","Vacation house"
"1992K2"," Vestjylland","39.1","Index","Vacation house"
"1992K2"," Nordjylland","30.6","Index","Vacation house"
"1992K3","Hele landet","28.7","Index","Vacation house"
"1992K3"," Byen København","0.0","Index","Vacation house"
"1992K3"," Københavns omegn","0.0","Index","Vacation house"
"1992K3"," Nordsjælland","16.7","Index","Vacation house"
"1992K3"," Bornholm","0.0","Index","Vacation house"
"1992K3"," Østsjælland","17.7","Index","Vacation house"
"1992K3"," Vest- og Sydsjælland","21.1","Index","Vacation house"
"1992K3"," Fyn","29.1","Index","Vacation house"
"1992K3"," Sydjylland","31.6","Index","Vacation house"
"1992K3"," Østjylland","24.9","Index","Vacation house"
"1992K3"," Vestjylland","40.8","Index","Vacation house"
"1992K3"," Nordjylland","31.6","Index","Vacation house"
"1992K4","Hele landet","28.7","Index","Vacation house"
"1992K4"," Byen København","0.0","Index","Vacation house"
"1992K4"," Københavns omegn","0.0","Index","Vacation house"
"1992K4"," Nordsjælland","17.0","Index","Vacation house"
"1992K4"," Bornholm","0.0","Index","Vacation house"
"1992K4"," Østsjælland","17.0","Index","Vacation house"
"1992K4"," Vest- og Sydsjælland","21.1","Index","Vacation house"
"1992K4"," Fyn","27.5","Index","Vacation house"
"1992K4"," Sydjylland","30.9","Index","Vacation house"
"1992K4"," Østjylland","26.4","Index","Vacation house"
"1992K4"," Vestjylland","39.9","Index","Vacation house"
"1992K4"," Nordjylland","30.6","Index","Vacation house"
"1993K1","Hele landet","28.5","Index","Vacation house"
"1993K1"," Byen København","0.0","Index","Vacation house"
"1993K1"," Københavns omegn","0.0","Index","Vacation house"
"1993K1"," Nordsjælland","16.6","Index","Vacation house"
"1993K1"," Bornholm","0.0","Index","Vacation house"
"1993K1"," Østsjælland","17.4","Index","Vacation house"
"1993K1"," Vest- og Sydsjælland","20.8","Index","Vacation house"
"1993K1"," Fyn","26.8","Index","Vacation house"
"1993K1"," Sydjylland","30.6","Index","Vacation house"
"1993K1"," Østjylland","25.4","Index","Vacation house"
"1993K1"," Vestjylland","39.4","Index","Vacation house"
"1993K1"," Nordjylland","31.2","Index","Vacation house"
"1993K2","Hele landet","28.4","Index","Vacation house"
"1993K2"," Byen København","0.0","Index","Vacation house"
"1993K2"," Københavns omegn","0.0","Index","Vacation house"
"1993K2"," Nordsjælland","16.2","Index","Vacation house"
"1993K2"," Bornholm","0.0","Index","Vacation house"
"1993K2"," Østsjælland","16.0","Index","Vacation house"
"1993K2"," Vest- og Sydsjælland","21.0","Index","Vacation house"
"1993K2"," Fyn","28.0","Index","Vacation house"
"1993K2"," Sydjylland","30.7","Index","Vacation house"
"1993K2"," Østjylland","25.9","Index","Vacation house"
"1993K2"," Vestjylland","39.2","Index","Vacation house"
"1993K2"," Nordjylland","31.0","Index","Vacation house"
"1993K3","Hele landet","28.7","Index","Vacation house"
"1993K3"," Byen København","0.0","Index","Vacation house"
"1993K3"," Københavns omegn","0.0","Index","Vacation house"
"1993K3"," Nordsjælland","16.7","Index","Vacation house"
