"Time","Area","Value","Metric","Category"
"Hele landet","1992K1","0.0","Pct_y","Vacation house"
"Hele landet","1992K2","0.0","Pct_y","Vacation house"
"Hele landet","1992K3","0.0","Pct_y","Vacation house"
"Hele landet","1992K4","0.0","Pct_y","Vacation house"
"Hele landet","1993K1","-3.4","Pct_y","Vacation house"
"Hele landet","1993K2","-2.1","Pct_y","Vacation house"
"Hele landet","1993K3","0.0","Pct_y","Vacation house"
"Hele landet","1993K4","3.8","Pct_y","Vacation house"
"Hele landet","1994K1","8.4","Pct_y","Vacation house"
"Hele landet","1994K2","7.0","Pct_y","Vacation house"
"Hele landet","1994K3","5.2","Pct_y","Vacation house"
"Hele landet","1994K4","1.3","Pct_y","Vacation house"
"Hele landet","1995K1","-0.6","Pct_y","Vacation house"
"Hele landet","1995K2","3.0","Pct_y","Vacation house"
"Hele landet","1995K3","2.3","Pct_y","Vacation house"
"Hele landet","1995K4","5.0","Pct_y","Vacation house"
"Hele landet","1996K1","5.9","Pct_y","Vacation house"
"Hele landet","1996K2","7.3","Pct_y","Vacation house"
"Hele landet","1996K3","8.4","Pct_y","Vacation house"
"Hele landet","1996K4","7.9","Pct_y","Vacation house"
"Hele landet","1997K1","8.9","Pct_y","Vacation house"
"Hele landet","1997K2","7.7","Pct_y","Vacation house"
"Hele landet","1997K3","9.3","Pct_y","Vacation house"
"Hele landet","1997K4","6.4","Pct_y","Vacation house"
"Hele landet","1998K1","4.8","Pct_y","Vacation house"
"Hele landet","1998K2","6.4","Pct_y","Vacation house"
"Hele landet","1998K3","7.7","Pct_y","Vacation house"
"Hele landet","1998K4","9.1","Pct_y","Vacation house"
"Hele landet","1999K1","7.5","Pct_y","Vacation house"
"Hele landet","1999K2","8.1","Pct_y","Vacation house"
"Hele landet","1999K3","9.4","Pct_y","Vacation house"
"Hele landet","1999K4","4.8","Pct_y","Vacation house"
"Hele landet","2000K1","6.8","Pct_y","Vacation house"
"Hele landet","2000K2","7.7","Pct_y","Vacation house"
"Hele landet","2000K3","9.0","Pct_y","Vacation house"
"Hele landet","2000K4","10.3","Pct_y","Vacation house"
"Hele landet","2001K1","11.0","Pct_y","Vacation house"
"Hele landet","2001K2","8.5","Pct_y","Vacation house"
"Hele landet","2001K3","6.8","Pct_y","Vacation house"
"Hele landet","2001K4","7.0","Pct_y","Vacation house"
"Hele landet","2002K1","6.3","Pct_y","Vacation house"
"Hele landet","2002K2","8.2","Pct_y","Vacation house"
"Hele landet","2002K3","9.0","Pct_y","Vacation house"
"Hele landet","2002K4","9.2","Pct_y","Vacation house"
"Hele landet","2003K1","9.3","Pct_y","Vacation house"
"Hele landet","2003K2","9.1","Pct_y","Vacation house"
"Hele landet","2003K3","8.6","Pct_y","Vacation house"
"Hele landet","2003K4","10.3","Pct_y","Vacation house"
"Hele landet","2004K1","14.2","Pct_y","Vacation house"
"Hele landet","2004K2","19.3","Pct_y","Vacation house"
"Hele landet","2004K3","21.7","Pct_y","Vacation house"
"Hele landet","2004K4","24.5","Pct_y","Vacation house"
"Hele landet","2005K1","22.3","Pct_y","Vacation house"
"Hele landet","2005K2","21.3","Pct_y","Vacation house"
"Hele landet","2005K3","24.5","Pct_y","Vacation house"
"Hele landet","2005K4","21.7","Pct_y","Vacation house"
"Hele landet","2006K1","22.5","Pct_y","Vacation house"
"Hele landet","2006K2","20.6","Pct_y","Vacation house"
"Hele landet","2006K3","15.9","Pct_y","Vacation house"
"Hele landet","2006K4","13.3","Pct_y","Vacation house"
"Hele landet","2007K1","6.8","Pct_y","Vacation house"
"Hele landet","2007K2","5.6","Pct_y","Vacation house"
"Hele landet","2007K3","1.0","Pct_y","Vacation house"
"Hele landet","2007K4","2.6","Pct_y","Vacation house"
"Hele landet","2008K1","0.2","Pct_y","Vacation house"
"Hele landet","2008K2","-3.7","Pct_y","Vacation house"
"Hele landet","2008K3","-2.7","Pct_y","Vacation house"
"Hele landet","2008K4","-13.2","Pct_y","Vacation house"
"Hele landet","2009K1","-16.6","Pct_y","Vacation house"
"Hele landet","2009K2","-13.4","Pct_y","Vacation house"
"Hele landet","2009K3","-13.0","Pct_y","Vacation house"
"Hele landet","2009K4","-2.9","Pct_y","Vacation house"
"Hele landet","2010K1","2.5","Pct_y","Vacation house"
"Hele landet","2010K2","1.6","Pct_y","Vacation house"
"Hele landet","2010K3","-0.7","Pct_y","Vacation house"
"Hele landet","2010K4","-1.4","Pct_y","Vacation house"
"Hele landet","2011K1","0.2","Pct_y","Vacation house"
"Hele landet","2011K2","-6.3","Pct_y","Vacation house"
"Hele landet","2011K3","-5.6","Pct_y","Vacation house"
